Sample_ID,Condition,Timepoint_h,CD8_percent,PD1_MFI,TIM3_MFI,LAG3_MFI,Ki67_percent,GranzymeB_percent,Cytotoxicity_percent
S01,Control,24,45.2,180.3,95.2,42.1,12.5,28.3,15.2
S02,Control,48,43.8,210.5,110.8,55.3,14.2,30.1,18.7
S03,Control,72,41.5,195.7,88.4,48.7,11.8,25.6,14.3
S04,Organoid_CoC,24,52.1,620.4,310.5,180.2,22.3,45.2,30.5
S05,Organoid_CoC,24,48.7,580.2,285.3,165.8,20.1,42.8,28.1
S06,Organoid_CoC,48,50.3,1120.5,520.8,320.4,28.5,52.3,35.7
S07,Organoid_CoC,48,55.8,1850.3,810.2,450.5,32.1,58.7,42.3
S08,Organoid_CoC,48,47.2,980.7,480.5,290.3,25.8,48.5,33.2
S09,Organoid_CoC,72,53.5,1920.8,890.3,520.7,35.2,62.1,45.8
S10,Organoid_CoC,72,49.8,2150.2,950.5,580.2,30.5,55.8,38.5
S11,Organoid_CoC,72,58.2,2350.5,1020.8,620.3,38.7,65.2,48.2
S12,Organoid_CoC,72,51.3,1580.3,780.2,410.5,33.8,60.5,44.1
S13,Anti_PD1,24,54.2,450.8,220.3,140.5,25.3,52.8,35.2
S14,Anti_PD1,24,50.8,380.5,195.7,120.8,23.8,50.2,32.8
S15,Anti_PD1,48,56.5,620.3,310.2,210.5,30.2,58.5,42.5
S16,Anti_PD1,48,52.3,550.8,280.5,185.3,28.5,55.3,39.8
S17,Anti_PD1,72,58.7,780.2,420.8,280.5,35.8,68.2,49.5
S18,Anti_PD1,72,55.2,720.5,380.3,250.2,33.2,65.8,45.2
S19,Anti_PD1,72,60.5,850.3,450.5,310.8,38.5,72.5,55.3
S20,Anti_PD1,72,57.8,690.8,350.2,230.5,32.5,63.5,43.8
